"season","driver","car","track","direction","grand_prix","date","position","player_name","player_time","points","screenshot_link"
"2021_gp1","xing","sentinel","temple_ruins","normal","hotshot",2021-02-28,5,"madhens","03:06:789",8,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-temple_ruins-normal/2021_gp1-2021-02-28-hotshot-temple_ruins-normal.png"
"2021_gp1","xing","sentinel","temple_ruins","normal","hotshot",2021-02-28,6,"TwoD","03:08:191",7,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-temple_ruins-normal/2021_gp1-2021-02-28-hotshot-temple_ruins-normal.png"
"2021_gp1","xing","sentinel","temple_ruins","normal","hotshot",2021-02-28,7,"bigcalm","03:12:565",6,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-temple_ruins-normal/2021_gp1-2021-02-28-hotshot-temple_ruins-normal.png"
"2021_gp1","xing","sentinel","temple_ruins","normal","hotshot",2021-02-28,8,"crendo","03:12:696",5,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-temple_ruins-normal/2021_gp1-2021-02-28-hotshot-temple_ruins-normal.png"
"2021_gp1","xing","sentinel","downtown","normal","hotshot",2021-02-28,1,"FrenchguyCH","02:54:337",12,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-downtown-normal/2021_gp1-2021-02-28-hotshot-downtown-normal.png"
"2021_gp1","xing","sentinel","downtown","normal","hotshot",2021-02-28,2,"crendo","02:58:646",11,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-downtown-normal/2021_gp1-2021-02-28-hotshot-downtown-normal.png"
"2021_gp1","xing","sentinel","downtown","normal","hotshot",2021-02-28,3,"TwoD","02:58:957",10,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-downtown-normal/2021_gp1-2021-02-28-hotshot-downtown-normal.png"
"2021_gp1","xing","sentinel","downtown","normal","hotshot",2021-02-28,4,"rpodcast","02:59:150",9,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-downtown-normal/2021_gp1-2021-02-28-hotshot-downtown-normal.png"
"2021_gp1","xing","sentinel","downtown","normal","hotshot",2021-02-28,5,"madhens","02:59:956",8,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-downtown-normal/2021_gp1-2021-02-28-hotshot-downtown-normal.png"
"2021_gp1","xing","sentinel","downtown","normal","hotshot",2021-02-28,6,"Wimpy","03:00:183",7,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-downtown-normal/2021_gp1-2021-02-28-hotshot-downtown-normal.png"
